,代码,名称,行业,质押比例(%),质押股数(万股),质押市值(亿元),质押笔数,无限售股质押数(股),限售股质押数(股),近年来涨跌幅(%),日期
2704,300555,路通视信,通讯行业,26.43,5286,57670.26,38,458,4828,21.49220491,2019-09-12T00:00:00
2705,300558,贝达药业,医药制造,24.97,10012.34,474885.2862,33,674.01,9338.33,19.69498077,2019-09-12T00:00:00
2706,300553,集智股份,仪器仪表,8.13,390,15635.1,2,0,390,23.93534128,2019-09-12T00:00:00
2707,300552,万集科技,软件服务,40.79,4484.9,215275.2,26,97.8,4387.1,191.91519861,2019-09-12T00:00:00
2708,300551,古鳌科技,专用设备,36.54,4116,82320,7,0,4116,69.40415428,2019-09-12T00:00:00
2709,300550,和仁科技,软件服务,39.17,4594.52,149321.9,10,1.12,4593.4,30.23078028,2019-09-12T00:00:00
2710,300548,博创科技,通讯行业,8.4,700.05,34806.486,2,0.05,700,47.17450971,2019-09-12T00:00:00
2711,300547,川环科技,塑胶制品,0.43,92.56,927.4512,1,0,92.56,1.40135431,2019-09-12T00:00:00
2712,300546,雄帝科技,专用设备,15.55,2100.02,58338.5556,3,0.02,2100,5.1306738,2019-09-12T00:00:00
2713,300545,联得装备,电子元件,15.06,2169.5,62438.21,10,0,2169.5,57.59478954,2019-09-12T00:00:00
2714,300543,朗科智能,电子信息,5.15,618.02,15357.797,3,618.02,0,59.16661286,2019-09-12T00:00:00
2715,300542,新晨科技,软件服务,6.89,1596.86,26444.0016,8,0,1596.86,64.01891002,2019-09-12T00:00:00
2716,300009,安科生物,医药制造,0.94,990.3,15617.031,8,990.3,0,14.1286127,2019-09-12T00:00:00
2717,300006,莱美药业,医药制造,37.74,30654.56,151126.9808,19,30654.56,0,19.65797117,2019-09-12T00:00:00
2718,300010,立思辰,软件服务,14.77,12823.14,124127.9952,38,12823.14,0,30.28263796,2019-09-12T00:00:00
2719,300008,天海防务,船舶制造,25.91,24877.81,90555.2284,21,11952.46,12925.35,0.27548209,2019-09-12T00:00:00
2720,300007,汉威科技,仪器仪表,15.24,4466.59,63559.5757,12,4466.59,0,31.74293866,2019-09-12T00:00:00
2721,300004,南风股份,机械行业,31.41,15075.97,71610.8575,12,15075.97,0,15.85365849,2019-09-12T00:00:00
2722,300003,乐普医疗,医疗行业,16.94,30182.04,835438.8672,25,23534.39,6647.65,-16.30265498,2019-09-12T00:00:00
2723,300002,神州泰岳,软件服务,19.23,37719.99,151634.3598,44,37719.99,0,2.81329924,2019-09-12T00:00:00
2724,002966,苏州银行,银行,19.11,63699.78,691779.6108,71,0,63699.78,38.16793893,2019-09-12T00:00:00
2725,300001,特锐德,输配电气,34.38,34299.69,590297.6649,65,34299.69,0,41.37157442,2019-09-12T00:00:00
2726,002953,日丰股份,家电行业,3.78,650,16659.5,1,0,650,144.89025504,2019-09-12T00:00:00
2727,002958,青农商行,银行,11.49,63859.91,417005.2123,23,0,63859.91,68.19257904,2019-09-12T00:00:00
2728,002952,亚世光电,电子元件,1.42,155.6,6175.764,1,0,155.6,93.59650401,2019-09-12T00:00:00
2729,002947,恒铭达,电子元件,5.97,725,46102.75,2,0,725,241.52138472,2019-09-12T00:00:00
2730,002948,青岛银行,银行,13.05,35838.02,217536.7814,17,0.05,35837.97,38.56885221,2019-09-12T00:00:00
2731,002946,新乳业,食品饮料,0,0.05,0.702,1,0.05,0,158.65554495,2019-09-12T00:00:00
2732,002943,宇晶股份,专用设备,17.55,1754.92,54209.4788,6,0,1754.92,75.89057229,2019-09-12T00:00:00
2733,002941,新疆交建,工程建设,6.17,3982,101859.56,36,0,3982,258.24982061,2019-09-12T00:00:00
2734,002940,昂利康,医药制造,2.06,185,6145.7,4,0,185,47.20882913,2019-09-12T00:00:00
2735,002939,长城证券,券商信托,1.4,4351.66,76850.3156,5,0.01,4351.65,183.55092076,2019-09-12T00:00:00
2736,002938,鹏鼎控股,电子元件,1.81,4172.66,163401.3656,9,0,4172.66,148.62075277,2019-09-12T00:00:00
2737,002933,新兴装备,航天航空,8.63,1013,51186.89,2,0,1013,-21.54261627,2019-09-12T00:00:00
2738,002937,兴瑞科技,电子元件,5.41,1592,27143.6,1,0,1592,176.64374487,2019-09-12T00:00:00
2739,002936,郑州银行,银行,37.74,166194.03,822660.4485,52,0.42,166193.61,11.04639826,2019-09-12T00:00:00
2740,002935,天奥电子,专用设备,6.83,1093.42,39363.12,6,1093.42,0,9.71909027,2019-09-12T00:00:00
2741,002932,明德生物,医疗行业,8.86,590.03,23630.7015,5,0.03,590,-37.15467679,2019-09-12T00:00:00
2742,002931,锋龙股份,专用设备,10.24,910,25571,1,0,910,-11.555528,2019-09-12T00:00:00
2743,002930,宏川智慧,交运物流,18.83,6426,97482.42,2,0,6426,-28.00693073,2019-09-12T00:00:00
2744,002928,华夏航空,民航机场,5.39,3240.05,35964.555,9,3240.05,0,-22.13568623,2019-09-12T00:00:00
2745,002929,润建股份,通讯行业,18.64,4115.7,118984.887,6,100.12,4015.58,-7.68652961,2019-09-12T00:00:00
2746,002926,华西证券,券商信托,6.01,15774.74,168474.2232,16,15774.74,0,20.02762269,2019-09-12T00:00:00
2747,002923,润都股份,医药制造,20.53,3806.36,76317.518,9,386.72,3419.64,16.79537245,2019-09-12T00:00:00
2748,002922,伊戈尔,输配电气,6.79,913,14927.55,3,0,913,-25.34932521,2019-09-12T00:00:00
2749,002927,泰永长征,输配电气,8.96,1528.97,35074.5718,1,1528.97,0,11.56198002,2019-09-12T00:00:00
2750,002925,盈趣科技,电子元件,34.62,15851.24,710611.0892,16,30.01,15821.23,5.57265769,2019-09-12T00:00:00
2751,002913,奥士康,电子元件,6.08,899.6,50971.336,4,0,899.6,36.37800249,2019-09-12T00:00:00
2752,002919,名臣健康,化工行业,23.54,2874.57,46683.0168,3,549.57,2325,-15.43919658,2019-09-12T00:00:00
2753,002917,金奥博,化工行业,19.1,3456,51943.68,1,0,3456,-1.31436104,2019-09-12T00:00:00
2754,002915,中欣氟材,化工行业,7.29,817,26021.45,1,0,817,41.60805314,2019-09-12T00:00:00
2755,002916,深南电路,电子元件,0.13,43.23,6526.4331,11,43.23,0,146.11879337,2019-09-12T00:00:00
2756,002912,中新赛克,软件服务,0.47,50.68,5477.4944,1,50.68,0,8.20365524,2019-09-12T00:00:00
2757,002910,庄园牧场,食品饮料,19.29,3000,37470,2,0,3000,-26.0643677,2019-09-12T00:00:00
2758,002908,德生科技,电子信息,8.25,1656.95,23097.883,4,276.95,1380,-19.9737422,2019-09-12T00:00:00
2759,002909,集泰股份,化工行业,28.29,4753.39,52334.8239,6,0,4753.39,-28.73602719,2019-09-12T00:00:00
2760,002907,华森制药,医药制造,6.94,2786.81,47849.5277,2,0,2786.81,-33.1360853,2019-09-12T00:00:00
2761,002906,华阳集团,电子元件,0,0.05,0.593,2,0.05,0,-14.67625902,2019-09-12T00:00:00
