,f1,f2,今日涨幅,价格变动,成交量,成交额,f7,换手,市盈(动),量比,f11,f12,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,流通市值,总市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,gxl
1462,2,7.82,0.39,0.03,37446,29318580.0,1.03,0.62,45.11,0.66,0.26,600686.SH,1,金龙汽车,7.87,7.79,7.79,7.79,4744695156,4744695156,0.0,1.38,-0.51,14.66,-2743939.0,35.87,-,-,-,-,2,0.03452685421994885
95,2,8.7,5.2,0.43,871593,741976000.0,7.13,5.34,89.32,0.77,0.35,600812.SH,1,华北制药,8.8,8.21,8.4,8.27,14188001142,14188001142,0.0,2.59,92.9,119.14,79022314.0,84.31,-,-,-,-,2,0.034482758620689655
2291,2,6.12,-0.16,-0.01,32202,19711883.0,0.98,0.59,65.63,0.75,0.0,603828.SH,1,柯利达,6.16,6.1,6.15,6.13,3386406993,3351067200,0.16,3.17,-26.35,4.97,-351976.0,82.86,-,-,-,-,2,0.034313725490196074
1843,2,17.49,0.06,0.01,25396,44448298.0,1.2,5.98,33.86,0.77,0.17,300717.SZ,0,华信新材,17.62,17.41,17.56,17.48,1790976000,743255040,0.0,3.2,7.04,22.48,1138697.0,37.17,-,-,-,-,2,0.03430531732418525
2082,2,5.86,0.0,0.0,51845,30719629.0,2.73,1.25,26.45,0.48,-0.17,002363.SZ,0,隆基机械,6.02,5.86,5.86,5.86,2438347764,2436342859,-0.17,1.04,-2.82,23.63,-261343.0,32.06,-,-,-,-,2,0.034129692832764506
1516,2,5.86,0.34,0.02,127125,74671326.0,1.71,1.23,30.98,0.86,0.0,002276.SZ,0,万马股份,5.92,5.82,5.86,5.84,6067966114,6058548145,0.17,1.48,4.09,16.73,-8699408.0,35.54,-,-,-,-,2,0.034129692832764506
1382,2,4.41,0.46,0.02,25757,11380662.0,1.14,0.22,94.23,0.67,0.0,601226.SH,1,华电重工,4.45,4.4,4.4,4.39,5093550000,5093550000,0.0,1.43,-5.36,19.84,-1329072.0,67.72,-,-,-,-,2,0.03401360544217687
3622,2,14.72,-1.93,-0.29,99677,147571156.0,4.46,2.73,64.34,0.83,0.07,002243.SZ,0,通产丽星,15.25,14.58,15.01,15.01,5372048632,5372048632,-0.07,3.41,-11.54,6.9,-29275396.0,56.83,-,-,-,-,2,0.033967391304347824
1522,2,8.84,0.34,0.03,301305,264905382.0,6.7,7.09,35.91,0.93,-0.79,603998.SH,1,方盛制药,9.13,8.54,8.64,8.81,3870352845,3758739005,-0.67,3.51,16.01,90.52,7620280.0,48.06,-,-,-,-,2,0.033936651583710405
786,2,29.47,1.2,0.35,7314,21602161.0,1.92,2.17,-43.72,1.02,0.24,300557.SZ,0,理工光科,29.78,29.22,29.66,29.12,1640551874,993541472,0.07,3.56,2.26,33.05,673512.0,86.29,-,-,-,-,2,0.0339328130302002
