,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f20,f21,f22,f23,f24,f25,f62,f115,f128,f140,f141,f136,f152,gxl
1149,2,8.05,-1.71,-0.14,13145,10579252.0,2.93,2.01,0.0,1.11,0.0,603196.SH,1,日播时尚,8.22,7.98,8.19,8.19,1932000000,526470000,0.12,2.14,-9.75,-34.77,-424889.0,464.24,-,-,-,-,2,0.12422360248447203
1150,2,14.95,-1.71,-0.26,43139,64899201.0,2.43,0.76,0.0,1.34,-0.07,600859.SH,1,王府井,15.23,14.86,15.2,15.21,11604942733,8503217989,-0.07,1.04,-3.17,14.21,-5750466.0,10.14,-,-,-,-,2,0.31438127090301005
1151,2,3.45,-1.71,-0.06,25922,8934102.0,2.85,0.26,0.0,1.09,0.58,600223.SH,1,鲁商发展,3.51,3.41,3.48,3.51,3453339600,3453339600,0.29,1.39,-13.53,13.86,-299590.0,17.73,-,-,-,-,2,0.14492753623188406
1152,2,2.3,-1.71,-0.04,57243,13267237.0,3.42,0.51,0.0,1.17,0.44,600084.SH,1,*ST中葡,2.36,2.28,2.34,2.34,2584571709,2584571709,0.44,1.18,-1.29,-21.77,-1451040.0,-23.78,-,-,-,-,2,0.0
1153,2,27.6,-1.71,-0.48,50245,139720545.0,2.71,1.17,0.0,0.66,-0.11,002025.SZ,0,航天电器,28.28,27.52,28.07,28.08,11840400000,11837606107,-0.11,4.2,10.18,29.7,-14472508.0,30.43,-,-,-,-,2,0.05434782608695652
1154,2,26.44,-1.71,-0.46,56668,149076455.0,2.45,5.71,0.0,0.67,0.38,300504.SZ,0,天邑股份,26.65,25.99,26.65,26.9,7070267520,2624222880,0.34,3.95,-2.15,3.44,-9277402.0,46.04,-,-,-,-,2,0.075642965204236
1155,2,12.64,-1.71,-0.22,20365,25817164.0,2.33,1.16,0.0,0.75,-0.16,603728.SH,1,鸣志电器,12.84,12.54,12.84,12.86,5258240000,2221606400,-0.16,2.76,2.85,0.24,-1631899.0,32.16,-,-,-,-,2,0.03243670886075949
1156,2,15.5,-1.71,-0.27,15638,24291041.0,3.17,2.39,0.0,0.67,0.39,002849.SZ,0,威星智能,15.78,15.28,15.78,15.77,2052309275,1014400027,0.0,3.23,-1.46,10.16,-829386.0,29.91,-,-,-,-,2,0.03225806451612903
1157,2,14.32,-1.72,-0.25,6010,8676820.0,2.68,0.4,0.0,0.64,0.07,002799.SZ,0,环球印务,14.65,14.26,14.65,14.57,2148000000,2148000000,0.0,3.85,0.7,19.33,-313211.0,49.88,-,-,-,-,2,0.024441340782122904
1158,2,13.74,-1.72,-0.24,65481,90419084.0,1.93,1.44,0.0,0.72,-0.15,000697.SZ,0,炼石航空,13.98,13.71,13.95,13.98,9228004651,6234823474,-0.07,3.05,19.37,10.9,5046833.0,85.26,-,-,-,-,2,0.0
1073,2,22.8,-1.6,-0.37,9729,22267507.0,2.5,1.8,0.0,0.76,-0.04,603585.SH,1,苏利股份,23.24,22.66,23.02,23.17,4104000000,1231200000,-0.04,2.25,-4.68,14.17,-902777.0,12.42,-,-,-,-,2,0.2631578947368421
1071,2,7.41,-1.59,-0.12,37157,27564119.0,3.19,0.83,0.0,0.79,0.68,300440.SZ,0,运达科技,7.57,7.33,7.56,7.53,3319680000,3301916311,0.68,2.82,-5.0,31.85,-3013809.0,34.48,-,-,-,-,2,0.06361174089068826
