,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日
2364,2404,嘉欣丝绸,0.0294985250737463,0.0,-,-,2.0,2019
1297,828,东莞控股,0.0294759825327511,0.0,-,-,2.7,2019
2519,2294,信立泰,0.0294442399705558,0.0,-,-,8.0,2019
1754,600481,双良节能,0.0294117647058824,0.0,-,-,1.2,2019
274,2154,报喜鸟,0.0294117647058824,0.0,-,-,1.0,2019
505,600926,杭州银行,0.0293772032902468,0.0,-,-,2.5,2019
868,2394,联发股份,0.0293255131964809,0.0,-,-,3.0,2019
1899,300127,银河磁体,0.0292887029288703,0.0,-,-,3.5,2019
2633,2795,永和智控,0.0292740046838408,0.0,-,-,5.0,2019
1420,600820,隧道股份,0.0291858678955453,0.0,-,-,1.9,2019
1613,603726,朗迪集团,0.0291005291005291,4.0,-,4.0,5.5,2019
458,603839,安正时尚,0.0290697674418605,0.0,-,-,3.5,2019
79,2233,塔牌集团,0.0290135396518375,0.0,-,-,3.0,2019
611,2836,新宏泽,0.0289351851851852,0.0,-,-,5.0,2019
883,603519,立霸股份,0.0288850375505488,0.0,-,-,5.0,2019
1981,2936,郑州银行,0.0288461538461538,0.0,-,-,1.5,2019
1410,603701,德宏股份,0.0288184438040346,4.0,-,4.0,5.0,2019
2498,26,飞亚达A,0.0287285836909871,0.0,-,-,2.008128,2019
593,601,韶能股份,0.0286806883365201,0.0,-,-,1.5,2019
2243,601577,长沙银行,0.0286298568507157,0.0,-,-,2.8,2019
1983,600657,信达地产,0.0285714285714286,0.0,-,-,1.2,2019
1893,2533,金杯电工,0.0284629981024668,0.0,-,-,1.5,2019
1477,601668,中国建筑,0.0283783783783784,0.0,-,-,1.68,2019
232,651,格力电器,0.028312570781427,0.0,-,-,15.0,2019
281,603630,拉芳家化,0.0283085633404105,0.0,-,-,4.0,2019
1256,600533,栖霞建设,0.0282485875706215,0.0,-,-,1.0,2019
1900,2598,山东章鼓,0.0282485875706215,0.0,-,-,2.0,2019
2473,2419,天虹股份,0.0282087447108604,0.0,-,-,4.0,2019
1751,11,深物业A,0.0281954887218045,0.0,-,-,3.0,2019
902,603556,海兴电力,0.028169014084507,0.0,-,-,4.0,2019
68,600126,杭钢股份,0.0281030444964871,0.0,-,-,1.2,2019
1080,601801,皖新传媒,0.0280898876404494,0.0,-,-,1.75,2019
1646,417,合肥百货,0.0280373831775701,0.0,-,-,1.5,2019
2378,603657,春光科技,0.0280210157618214,0.0,-,-,8.0,2019
757,2443,金洲管道,0.027972027972028,0.0,-,-,2.0,2019
1769,600663,陆家嘴,0.0279708520179372,2.0,2.0,-,4.99,2019
1246,600510,黑牡丹,0.0279369627507163,0.0,-,-,1.95,2019
2287,601899,紫金矿业,0.0279329608938548,0.0,-,-,1.0,2019
2110,951,中国重汽,0.0278113663845224,0.0,-,-,4.6,2019
151,600239,云南城投,0.0277945619335347,0.0,-,-,0.92,2019
2463,600508,上海能源,0.0277777777777778,0.0,-,-,2.8,2019
2516,43,中航善达,0.0277777777777778,0.0,-,-,3.0,2019
2458,600835,上海机电,0.0277427490542245,0.0,-,-,4.4,2019
1570,300349,金卡智能,0.0277315585135885,0.0,-,-,5.0,2019
2377,603025,大豪科技,0.0276752767527675,0.0,-,-,3.0,2019
2315,600256,广汇能源,0.0275482093663912,0.0,-,-,1.0,2019
956,2111,威海广泰,0.0274303392444102,0.0,-,-,3.557715,2019
2570,600675,中华企业,0.0273972602739726,2.0,-,2.0,1.8,2019
2224,601598,中国外运,0.0272536687631027,0.0,-,-,1.3,2019
1296,600229,城市传媒,0.0272479564032698,0.0,-,-,2.0,2019
1861,600611,大众交通,0.0271493212669683,0.0,-,-,1.2,2019
1518,2852,道道全,0.0271379362972794,0.0,-,-,4.089687,2019
1915,600933,爱柯迪,0.027122641509434,0.0,-,-,2.3,2019
2367,300179,四方达,0.027027027027027,0.0,-,-,1.5,2019
43,600325,华发股份,0.0269905533063428,0.0,-,-,2.0,2019
13,600057,厦门象屿,0.0269662921348315,0.0,-,-,1.2,2019
1175,600461,洪城水业,0.0269413629160063,0.0,-,-,1.7,2019
1901,541,佛山照明,0.0268502581755594,0.0,-,-,1.56,2019
2008,603993,洛阳钼业,0.0268292682926829,0.0,-,-,1.1,2019
2059,600987,航民股份,0.0266666666666667,4.5,2.5,2.0,2.8,2019
1524,524,岭南控股,0.0265643447461629,0.0,-,-,2.25,2019
358,2397,梦洁股份,0.0265486725663717,0.0,-,-,1.5,2019
76,600989,宝丰能源,0.0264900662251656,0.0,-,-,2.8,2019
443,2753,永东股份,0.0264830508474576,0.0,-,-,2.5,2019
123,2304,洋河股份,0.0264703449416825,0.0,-,-,32.0,2019
1480,300622,博士眼镜,0.0264260922587487,3.987169,-,3.987169,4.983961,2019
1095,2441,众业达,0.0263819095477387,0.0,-,-,2.1,2019
400,601700,风范股份,0.0263157894736842,0.0,-,-,1.8,2019
1733,2546,新联电子,0.0263157894736842,0.0,-,-,1.2,2019
2310,603393,新天然气,0.026281208935611,4.0,-,4.0,10.0,2019
150,600637,东方明珠,0.0262390670553936,0.0,-,-,2.7,2019
2288,600036,招商银行,0.0261838440111421,0.0,-,-,9.4,2019
414,600057,厦门象屿,0.0261437908496732,0.0,-,-,1.2,2019
2026,600886,国投电力,0.0261324041811847,0.0,-,-,2.25,2019
2246,601601,中国太保,0.0261096605744125,0.0,-,-,10.0,2019
2239,300088,长信科技,0.0260521042084168,0.0,-,-,1.3,2019
2165,603611,诺力股份,0.0260416666666667,0.0,-,-,5.0,2019
687,601139,深圳燃气,0.0259515570934256,0.0,-,-,1.5,2019
1526,603365,水星家纺,0.0259067357512953,0.0,-,-,5.0,2019
1033,333,美的集团,0.0258825327510917,0.0,-,-,13.03962,2019
1556,601952,苏垦农发,0.0258397932816537,0.0,-,-,2.0,2019
2251,603165,荣晟环保,0.0258241758241758,0.0,-,-,4.7,2019
